area_num_1,community,sq_miles,total_2014,children_2014_total,children_2014_0_4,children_2014_5_9,children_2014_10_14,children_2014_15_17,total_households_2014,total_families_with_kids,percent_child_2014,percent_child_2014_0_4,percent_child_2014_5_9,percent_child_2014_10_14,percent_child_2014_15_17,percent_child_2014_0_4_total,percent_child_2014_5_9_total,percent_child_2014_10_14_total,percent_child_2014_15_17_total,percent_families_2014_with_kids,density_pop_2014,density_households_2014,density_kids_2014,density_fam_2014,people_per_households_2014
35,DOUGLAS,1.650189,19430,2904,691,736,983,494,9071,1698,14.94595985589294904786412764,3.556356150283067421513124035,3.787956767884714359238291302,5.059186824498198661863098302,2.542460113226968605249613999,23.79476584022038567493112948,25.34435261707988980716253444,33.84986225895316804407713499,17.01101928374655647382920110,18.71899459816999228309998898,11774.40887074147264343660029,5496.946107385275262409336143,1759.798423089718814026756935,1028.973044905765339606554158,2.141990960202844228861206041
36,OAKLAND,0.606705,6473,1938,412,579,535,412,2810,1071,29.93974972964622277151243627,6.364900355322107214583655183,8.944847829445388536999845512,8.265101189556619805345280395,6.364900355322107214583655183,21.25902992776057791537667699,29.87616099071207430340557276,27.60577915376676986584107327,21.25902992776057791537667699,38.11387900355871886120996441,10669.10607296791686239605739,4631.575477373682432154012246,3194.303656637080624026503820,1765.273073404702450119910006,2.303558718861209964412811388
37,FULLER PARK,0.714414,2543,590,178,161,156,95,1106,298,23.20094376720408965788438852,6.999606763664962642548171451,6.331104994101454974439638223,6.134486826582776248525363744,3.735745182854895792371215100,30.16949152542372881355932203,27.28813559322033898305084746,26.44067796610169491525423729,16.10169491525423728813559322,26.94394213381555153707052441,3559.560702897759562382596086,1548.121957296469554068089371,825.8516770388038308319825759,417.1250843348534603185267926,2.299276672694394213381555154
38,GRAND BOULEVARD,1.739429,22531,5659,1655,1454,1616,934,9890,2872,25.11650614708623674049087923,7.345435178198925924282100217,6.453330966224313168523367804,7.172340331099374195552793928,4.145399671563623452132617283,29.24544972610001767096660187,25.69358543912352005654709313,28.55628202862696589503445838,16.50468280614949637745184662,29.03943377148634984833164813,12953.10127633838460782245208,5685.773894766615941208293066,3253.366478309836158877424718,1651.116544567211423978788441,2.278159757330637007077856421
39,KENWOOD,1.042805,18217,3537,1191,857,781,708,9130,1958,19.41593017511115990558269748,6.537849261678651808750068617,4.704396991820826700334852061,4.287204259757369490036778833,3.886479661854311906460997969,33.67260390161153519932145886,24.22957308453491659598529828,22.08085948543963811139383658,20.01696352841391009329940628,21.44578313253012048192771084,17469.22962586485488657994544,8755.232282162053308144859298,3391.813426287752743801573640,1877.628127981741552831066211,1.995290251916757940854326396
4,LINCOLN SQUARE,2.559413,39547,6610,2744,1824,1242,800,17723,3904,16.71428932662401699243937593,6.938579411839077553291020811,4.612233544895946595190532784,3.140566920373226793435658836,2.022909449515766050522163502,41.51285930408472012102874433,27.59455370650529500756429652,18.78971255673222390317700454,12.10287443267776096822995461,22.02787338486712181910511764,15451.58987627241090046819329,6924.634672090827076364775829,2582.623437483516728249797903,1525.349757932775991995039488,2.231394233481916154149974609
40,WASHINGTON PARK,1.519954,11647,4367,1272,1205,1190,700,4172,1985,37.49463381128187516098566154,10.92126727912767236198162617,10.34601184854468961964454366,10.21722331930969348330042071,6.010131364299819696059071005,29.12754751545683535607968857,27.59331348752003663842454774,27.24982825738493244790474010,16.02931073963819555759102359,47.57909875359539789069990412,7662.731898465348293435196065,2744.819909023562555182591052,2873.113265269870009223963357,1305.960575122668186010892435,2.791706615532118887823585810
41,HYDE PARK,1.617933,26705,3727,1397,901,876,553,12445,2256,13.95618797977906759033888785,5.231230106721587717655869687,3.373900018723085564501029770,3.280284590900580415652499532,2.070773263433813892529488860,37.48323048027904480815669439,24.17493962972900456130936410,23.50415884089079688757713979,14.83767104910115374295680172,18.12776215347529128163921254,16505.62785974450116290353185,7691.913076746688521712580187,2303.556451348727048647873552,1394.371707604703037764851820,2.145841703495379670550421856
42,WOODLAWN,2.073834,25451,6718,1868,1988,1727,1135,10267,3042,26.39581941770460885623354682,7.339593729126556913284350320,7.811087972967663353109897450,6.785587992613256846489332443,4.459549722997131743349966602,27.80589461149151533194403096,29.59214051801131289074129205,25.70705567133075320035724918,16.89490919916641857695742781,29.62890815233271647024447258,12272.43839188671803046916966,4950.733761718633217509212406,3239.410676071469558315660752,1466.848359126140279308758560,2.478913022304470634070322392
1,ROGERS PARK,1.838696,55053,10281,3671,2491,2668,1451,23487,5210,18.67473162225491798812053839,6.668119811817702940802499410,4.524730714039198590449203495,4.846239078705974243002197882,2.635642017692042213866637604,35.70664332263398502091236261,24.22916058749148915475148332,25.95078299776286353467561521,14.11341309211166228966053886,22.18248392727892025375739771,29941.32798461518380417426263,12773.72659754521682757780514,5591.462645265992855806506350,2833.529849415020209974895252,2.343977519478860646314982756
11,JEFFERSON PARK,2.326825,26975,5711,1886,1359,1549,917,10115,2865,21.17145505097312326227988879,6.991658943466172381835032437,5.037998146431881371640407785,5.742354031510658016682113068,3.399443929564411492122335496,33.02398879355629486954999124,23.79618280511293994046576782,27.12309578007354228681491858,16.05673262125722290316932236,28.32427088482451804251112210,11593.05061618299614281263095,4347.125374705876032791464764,2454.417500241745726472768687,1231.291566834635178838116317,2.666831438457736035590706871
12,FOREST GLEN,3.197131,18478,4617,1189,1449,1289,690,6673,2333,24.98647039722913735252732980,6.434679077822275138001948263,7.841757765991990475159649313,6.975863188656781036908756359,3.734170364758090702456975863,25.75265323803335499241931990,31.38401559454191033138401559,27.91856183669049166125189517,14.94476933073424301494476933,34.96178630301213846845496778,5779.556733834178205397276496,2087.183790717365037591515643,1444.107232390540143647538997,729.7167366617132673012147453,2.769069384085119136820020980
13,NORTH PARK,2.521261,18058,3809,1301,1034,971,503,6476,1912,21.09314431276996345110200465,7.204563074537601063240668956,5.725994019271237124820024366,5.377118174770184959574703732,2.785469044190940303466607598,34.15594644263586243108427409,27.14623260698346022578104489,25.49225518508794959306904699,13.20556576529272775006563402,29.52439777640518838789376158,7162.289029180239570595824867,2568.555972586733384603973964,1510.751961022678731000082895,758.3506824561201716125383290,2.788449660284126003705991353
14,ALBANY PARK,1.920563,52930,12782,4016,3348,3525,1893,16426,6275,24.14887587379557906669185717,7.587379557906669185716984697,6.325335348573587757415454374,6.659739278292083884375590402,3.576421689023238239183827697,31.41918322641214207479267720,26.19308402440932561414489125,27.57784384290408386793928963,14.80988890627444844312314192,38.20163155972239133081699744,27559.62704686073823144567504,8552.700432112875235022230461,6655.340126827393842326442819,3267.271107482545482756879103,3.222330451722878363569950079
15,PORTAGE PARK,3.952741,64427,13902,3834,4019,3708,2341,22489,7320,21.57790988250267744889564934,5.950921197634532106104583482,6.238067890791127943253604855,5.755351017430580346749033790,3.633569776646437052788427212,27.57876564523090202848511006,28.90950942310458926773126169,26.67242123435476909797151489,16.83930369730973960581211336,32.54924629819022633287384944,16299.32241955645462224820700,5689.469661685397550712277885,3517.053103150446740628844642,1851.879493242790256179193122,2.864822802258882120147627729
16,IRVING PARK,3.214366,56490,12657,4427,3548,3095,1587,20313,6624,22.40573552841210833775889538,7.836785271729509647725261108,6.280757656222340237210125686,5.478845813418304124623827226,2.809346787041954328199681360,34.97669273919570198309235996,28.03191909615232677569724263,24.45287192857707197598167022,12.53851623607489926522872719,32.60965883916703588834736376,17574.22770151252222055609100,6319.442154378188420360344777,3937.634979961833842194697181,2060.748527081234682049275036,2.780977699010485895731797371
17,DUNNING,3.715960,43053,8402,2519,2276,2108,1499,15301,4723,19.51548091886744245464892110,5.850927926044642649757275916,5.286507328176898241702088124,4.896290618539939144775044712,3.481755046105962418414512345,29.98095691502023327779100214,27.08878838371816234229945251,25.08926446084265651035467746,17.84099024041894786955486789,30.86726357754395137572707666,11585.96970903884864207364988,4117.643892829847468756391350,2261.057707833238247989752312,1271.003993584430402910687951,2.813737664204953924580092804
18,MONTCLARE,0.989167,12840,3257,1086,933,692,546,4403,1690,25.36604361370716510903426791,8.457943925233644859813084112,7.266355140186915887850467290,5.389408099688473520249221184,4.252336448598130841121495327,33.34356770033773411114522567,28.64599324531777709548664415,21.24654590113601473748848634,16.76389315320847405587964384,38.38292073586191233250056779,12980.61904612669043750954086,4451.220066985655607192718722,3292.669488569675292443035403,1708.508270089883710232953586,2.916193504428798546445605269
19,BELMONT CRAGIN,3.913403,79069,23366,6361,6982,6194,3829,21506,10563,29.55140446951396881205023461,8.044872200230178704675663028,8.830262176074061895306630917,7.833664267917894497211296463,4.842605825291833714856644197,27.22331592912779251904476590,29.88102370966361379782590088,26.50860224257468116066078918,16.38705811863391252246854404,49.11652562075699804705663536,20204.66586242204035720318097,5495.472865943016857706706925,5970.762530718149906871334233,2699.185338182650751788149598,3.676601878545522179856784153
2,WEST RIDGE,3.530658,73019,18748,5880,5417,4953,2498,24245,8232,25.67550911406620194743833797,8.052698612689847847820430299,7.418617072268861529191032471,6.783166025281091222832413481,3.421027403826401347594461715,31.36334542351184126306806059,28.89374866652442927245572861,26.41881800725410710475784084,13.32408790270962235971836996,33.95339245205196947824293669,20681.41405936230583647580706,6866.991931815542598575109795,5310.058351729337704189983850,2331.576720260076167105395085,3.011713755413487316972571664
20,HERMOSA,1.169438,24836,7010,2225,2008,1719,1058,6923,3096,28.22515703011757126751489773,8.958769528104364631985827025,8.085037848284747946529231760,6.921404412948945079722982767,4.259945240779513609276856177,31.74037089871611982881597718,28.64479315263908701854493581,24.52211126961483594864479315,15.09272467902995720399429387,44.72049689440993788819875776,21237.55171287404719189901474,5919.937611057619129872639678,5994.332320311123804767760240,2647.425515504028430750497247,3.587462082912032355915065723
21,AVONDALE,1.983277,39117,8777,3012,2313,2032,1420,13560,4558,22.43781476084566812383362732,7.699976992100621213283227241,5.913030140348186210598972314,5.194672393077178720249507887,3.630135235319681979701919881,34.31696479434886635524666743,26.35296798450495613535376552,23.15141848011849151190611826,16.17864874102768599749344879,33.61356932153392330383480826,19723.41735420720353233562432,6837.168988497320344056831194,4425.503850445500048656844203,2298.216537578966528629132491,2.884734513274336283185840708
22,LOGAN SQUARE,3.589072,74055,14774,5230,3970,3531,2043,29237,7878,19.95003713456214975356154210,7.062318547025859158733373844,5.360880426709877793531834447,4.768077780028357302005266356,2.758760380798055499291067450,35.40002707459049681873561662,26.87153106809259509949912008,23.90009476106673886557465818,13.82834709625016921619060512,26.94530902623388172521120498,20633.46736983822001899098151,8146.116879237864272435883148,4116.384402430488995484069420,2194.996366748842040505177940,2.532920614290111844580497315
23,HUMBOLDT PARK,3.604256,54515,16941,4968,4861,4244,2868,16434,7340,31.07585068329817481427130148,9.113088140878657250298083096,8.916811886636705493900761258,7.785013299091993029441438136,5.260937356690819040631018986,29.32530547193199929165928812,28.69370167050351218936308364,25.05164984357475945929992326,16.92934301398972905967770498,44.66350249482779603261530972,15125.17423845586994930437794,4559.609528290998197686290874,4700.276561931227970488222812,2036.481315422655882379054096,3.317208226846781063648533528
24,WEST TOWN,4.575690,84319,13603,5558,3355,2991,1699,36779,7616,16.13278146088070304439094392,6.591634151258909617049538064,3.978937131607348284491039979,3.547243207343540601762354867,2.014966970670904541088011006,40.85863412482540616040579284,24.66367713004484304932735426,21.98779680952731015217231493,12.48989193560244063809453797,20.70746893607765300851029120,18427.60326857807237815498865,8037.913407595357202957368178,2972.884963797809729243021271,1664.448421986629338963085349,2.292585442779847195410424427
25,AUSTIN,7.147261,99711,27260,7356,7456,7251,5197,32277,12654,27.33900973814323394610424126,7.377320456118181544664079189,7.477610293748934420475173251,7.272016126605891025062430424,5.212062861670226955902558394,26.98459280997798972853998533,27.35143066764490095377842993,26.59941305942773294203961849,19.06456346294937637564196625,39.20438702481643275397341760,13950.93868826113947706680923,4515.995708006185866166073969,3814.048486546104864506836955,1770.468435390844128960730551,3.089227623385072962171205502
26,WEST GARFIELD PARK,1.294653,18885,6266,1866,1741,1738,921,5431,2423,33.17977230606301297325920042,9.880857823669579030976965846,9.218956844056129203071220545,9.203071220545406407201482658,4.876886417791898332009531374,29.77976380466007022023619534,27.78487073092882221512926907,27.73699329715927226300670284,14.69837216725183530162783275,44.61425151905726385564352790,14586.92020178379843865499095,4194.946445109230040790852839,4839.906909418971724469800016,1871.543958110783352759388037,3.477260173080464002946050451
27,EAST GARFIELD PARK,1.932795,20271,6062,1609,1711,1753,989,6881,2633,29.90479009422327462878003059,7.937447585220265403778797297,8.440629470672389127324749642,8.647822011740910660549553549,4.878891026589709437126930097,26.54239524909270867700428901,28.22500824810293632464533157,28.91784889475420653249752557,16.31474760805014846585285384,38.26478709489899723877343409,10487.92034333698090071632015,3560.129242884009944148241278,3136.390563924265118649417036,1362.275875092806014088405651,2.945938090393838104926609504
28,NEAR WEST SIDE,5.685135,58899,8782,3132,1939,2008,1703,26973,4444,14.91027012343163720946026248,5.317577548005908419497784343,3.292076266150528871457919489,3.409225963089356355795514355,2.891390346185843562709044296,35.66385789114097016624914598,22.07925301753586882259166477,22.86495103621043042587109998,19.39193805511273058528808927,16.47573499425351277203129055,10360.17614357442699249885887,4744.478363310633784422005810,1544.730248270269747332297298,781.6876819987564059604565239,2.183628072516961405850294739
29,NORTH LAWNDALE,3.209920,35623,11529,3012,3176,3552,1789,10755,4856,32.36392218510512870898015327,8.455211520646773152176964321,8.915588243550515116638127053,9.971086096061533279061280633,5.022036324846307161103781265,26.12542284673432214415820973,27.54792262988984300459710296,30.80926359614884205048139474,15.51739092722699280076329257,45.15109251510925151092515109,11097.78436845778087927424983,3350.550792543116339348021134,3591.678297278436845778087927,1512.810288106868707008274350,3.312226871222687122268712227
3,UPTOWN,2.334985,54062,6109,2550,1421,1342,796,29295,3668,11.29998890163146017535422293,4.716806629425474455255077504,2.628463615848470274869594170,2.482335096740779105471495690,1.472383559616736339758055566,41.74169258471108201014896055,23.26076280897037158291045998,21.96758880340481257161564904,13.02995580291373383532493043,12.52090800477897252090800478,23153.03952702051619175283781,12546.11913995164851166067448,2616.290896943663449658134849,1570.888035683312740767071309,1.845434374466632531148660181
30,SOUTH LAWNDALE,4.591307,72881,20824,6208,5522,5399,3695,17447,8795,28.57260465690646396180074368,8.517995087882987335519545561,7.576734677076329907657688561,7.407966410998751389250970761,5.069908480948395329372538796,29.81175566653860929696504034,26.51747983096427199385324625,25.92681521321552055320783711,17.74394928928159815597387630,50.40981257522783286524903995,15873.69348205206055704835246,3800.007274617009927674189506,4535.527683075864889888652621,1915.576544979457919063133875,4.177279761563592594715423855
31,LOWER WEST SIDE,2.925230,34979,8838,2398,2930,2340,1170,11901,4124,25.26658852454329740701563795,6.855541896566511335372652163,8.376454444095028445638811859,6.689728122587838417336115955,3.344864061293919208668057978,27.13283548314098212265218375,33.15229689975107490382439466,26.47657841140529531568228106,13.23828920570264765784114053,34.65255020586505335686076800,11957.69221565483739740122999,4068.398040495961001357158241,3021.300889160852309049202969,1409.803673557292930812278009,2.939164776069237879169817662
33,NEAR SOUTH SIDE,1.785240,22021,3087,1495,732,537,323,12599,2131,14.01843694655101948140411425,6.788974161028109531810544480,3.324099722991689750692520776,2.438581354161936333499841061,1.466781708369283865401207938,48.42889536767087787495950761,23.71234207968901846452866861,17.39552964042759961127308066,10.46323291221250404923874312,16.91404079688864195571077070,12335.03618561089825457641550,7057.314422710671954471107526,1729.179270014115749142972373,1193.677040621989200331608075,1.747837129930946900547662513
34,ARMOUR SQUARE,0.995975,13850,2732,685,645,817,585,5150,1574,19.72563176895306859205776173,4.945848375451263537906137184,4.657039711191335740072202166,5.898916967509025270758122744,4.223826714801444043321299639,25.07320644216691068814055637,23.60907759882869692532942899,29.90483162518301610541727672,21.41288433382137628111273792,30.56310679611650485436893204,13905.97153543010617736388966,5170.812520394588217575742363,2743.040738974371846682898667,1580.360952835161525138683200,2.689320388349514563106796117
10,NORWOOD PARK,4.374681,41867,8555,2407,2604,2150,1394,16458,4386,20.43375450832397831227458380,5.749158048104712542097594764,6.219695703059689015214847016,5.135309432249743234528387513,3.329591324909833520433754508,28.13559322033898305084745763,30.43834015195791934541203974,25.13150204558737580362361192,16.29456458211572180011689071,26.64965366387167335034633613,9570.297811428993336885592344,3762.102882473030604974396990,1955.571160502902954523998436,1002.587388657595833844799198,2.543869242921375622797423745
8,NEAR NORTH SIDE,2.750369,84305,6333,3114,1511,1343,365,52964,3526,7.512009963821837376193582824,3.693731095427317478204139731,1.792301761461360536148508392,1.593025324713836664492023012,0.4329517822193226973489116897,49.17100900047370914258645192,23.85915048160429496289278383,21.20637928312016421916942997,5.763461234801831675351334281,6.657352163733856959444150744,30652.25066163849287132017558,19257.05241733018369535142375,2302.600123837928656118506280,1282.009795776493990442736956,1.591741560305112906880145004
